position,person,personID,start,end
President,Surangel Whipps Jr.,Q26703072,2021-01-21,
Vice President,Jerrlyn Uduch Sengebau Senior,Q42705716,2021-01-21,
"Minister of Agriculture, Fisheries, and the Environment",Steven Victor,Q114457601,2021-07,
Minister of Education,Dale Jenkins,Q114457578,2021-07,
Minister of Finance,Kaleb Udui Jr,Q114457574,2021-02-08,
Minister of Health,Gaafar Uherbelau,Q114457585,2021-11,
"Minister of Human Resources, Culture, Tourism and Development",Ngirai Tmetuchl,Q114457595,2021-05,
Minister of Justice,Jerrlyn Uduch Sengebau Senior,Q42705716,2021-07-21,
Minister of Public Infrastructure and Industries,Charles Obichang,Q114457563,2021-02-07,
Minister of State,Gustav Aitaro,Q113581829,2021-09-03,
Speaker of the House of Delegates,Sabino Anastacio,Q108454845,2013-01,
President of the Senate,Hokkons Baules,Q5878180,2020-01,
