item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q105085469,NormalRank,Q6581097,true,false,,,,
Q107481428,NormalRank,Q6581097,true,false,,,,
Q107490033,NormalRank,Q6581097,true,false,,,,
Q107490046,NormalRank,Q6581097,true,false,,,,
Q107845064,NormalRank,Q6581097,true,false,,,,
Q108454845,NormalRank,Q6581097,true,false,,,,
Q113581829,NormalRank,Q6581097,true,false,,,,
Q114457457,,,,false,,,,
Q114457504,,,,false,,,,
Q114457510,,,,false,,,,
Q114457511,,,,false,,,,
Q114457512,,,,false,,,,
Q114457563,NormalRank,Q6581097,true,false,,,,
Q114457574,NormalRank,Q6581097,true,false,,,,
Q114457578,NormalRank,Q6581097,true,false,,,,
Q114457585,NormalRank,Q6581097,true,false,,,,
Q114457595,NormalRank,Q6581097,true,false,,,,
Q114457601,NormalRank,Q6581097,true,false,,,,
Q15260928,NormalRank,Q6581097,true,false,,,,
Q19560062,NormalRank,Q6581097,true,false,,,,
Q20038862,NormalRank,Q6581097,true,false,,,,
Q240644,NormalRank,Q6581097,true,false,,,,
Q26703072,NormalRank,Q6581097,true,false,,,,
Q30246749,NormalRank,Q6581097,true,false,,,,
Q3195401,NormalRank,Q6581097,true,false,,,,
Q336285,NormalRank,Q6581097,true,true,false,false,false,true
Q42705716,NormalRank,Q6581072,true,true,false,false,false,true
Q45714891,NormalRank,Q6581097,true,false,,,,
Q47516046,NormalRank,Q6581072,true,false,,,,
Q5878180,NormalRank,Q6581097,true,false,,,,
Q6267566,NormalRank,Q6581097,true,false,,,,
Q6289980,NormalRank,Q6581097,true,false,,,,
Q7045406,NormalRank,Q6581097,true,false,,,,
Q718150,NormalRank,Q6581097,true,false,,,,
Q7645397,NormalRank,Q6581097,true,false,,,,
Q982581,NormalRank,Q6581097,true,false,,,,
Q57471,NormalRank,Q6581097,true,true,false,false,false,true
Q58080,NormalRank,Q6581072,true,true,false,false,false,true
